dest_id,dest_name,dest_description
1,Shigar Valley,"The Shigar Valley - a valley in Gilgit Baltistan that is watered by the Shigar River, and centred on the town of Shigar. The valley stretches about 170 km from Skardu to Askole and is the gateway to the high mountains of the Karakoram. The town of Shigar is the largest settlement in the valley. This Valley is a stream of the Indus River, which is near to the town of Skardu. It is an attraction for the tourists as it is a popular destination for hiking, trekking and mountaineering."
2,Nagar Valley,"Nagar Valley is the prime attraction for tourists with spectacular sceneries of the surrounding mountains. A view of four 7,000 m high peaks, i.e., Rakaposhi, Diran, Golden, and Ultra, from various points of Hunza makes it unique. The valley is known for its delicious fruits, terraced fields, landmark monuments and also for its changing colors in various seasons."
3,Hunza Valley,"Hunza valley is perhaps one of the most beautiful and attractive areas in northern Pakistan. This area boasts of some of the most spectacular scenery in the world. Many of the highest mountains in the world are located in Hunza and Gilgit. Hunza Valley is really a paradise with regard to backpackers and climbers, as a result of higher hills that encompass this valley. Natural beauty and a very attractive culture results in a lot of tourists visiting it every year. Hunza is just 100 km drive from Gilgit, and most people arrive by road and it takes almost 2-3 hours to reach Hunza from Gilgit."
4,Skardu Valley,"The Skardu Valley is located in Gilgit-Baltistan, Pakistan. The valley is about 10 km wide and 40 km long. Skardu by road, lies approximately 5 hours away from Gilgit and 10 hours drive from Besham. It is at the confluence of the Shigar River and Indus River. With the nearby lakes and mountains, it is an important tourist location. Skardu is very popular with Mountaineering Expeditions. It is equally popular with high altitude trekkers, who trek to Baltoro Glacier, K2 Base Camp and Concordia."
5,Jhelum Valley,"Jhelum Valley is a valley in Jhelum Valley District of Azad Kashmir. It is a 50 kilometers (31 mi) long valley located along with Jhelum river surrounded by lush green mountains. Some popular tourist attractions are Garhi Dupatta, Awan Patti, Chinari, Chakothi, Pahal and Chikkar. The valley is connected by a metalled road from Muzaffarabad. Hotels and rest houses with basic facilities are located in towns and villages in the valley."
6,Leepa Valley,"Leepa Valley is located in Hattian Bala District of Azad Kashmir, about 83 kilometres (52 mi) from Muzaffarabad. Leepa valley is situated 10,000 feet (3,000 m) above sea level. Snowfall occurs regularly throughout the year. Its lush green river fields in summer and typical wooden kashmiri houses present a wonderful view to the tourists."
7,Baboon Valley,"Baboon Valley consists of meadows, water streams, dense forests and moderate climate in summers. The place is dream location where one can hike; explore unmatched beauty and inhale the fresh air. The best time to visit Baboon Valley is between June to September. At this time one can see glaciers and temperature is around 10 Degree Celsius and new fresh breezes of spring blow to welcome summers."
8,Arrang Kel,"The lush green meadow where humans are habituated, an eye-opener for every traveler as it’s the gift of almighty Allah to human beings. No road linking to the village just a cable car to connect with Kel, mountains covered with snow and the glaciers, water streams all around and giant trees are the real fascinations. It is a total natural wonder one should explore while visiting the Neelum Valley."
9,Ratti Gali Lake,"Ratti Gali Lake is located in Neelum Valley and is of 3 hours jeep drive on the trek of 15 kilometers bumpy road having roadside glaciers and water streams. The best time to visit Ratti Gali is in August where it’s beauty will be on the peak. The locals have created a base camp to facilitate tourists."
10,Chitta Katha Lake,"Alpine Glaciers Lake the most beautiful lake of Pakistan, located in Shounter valley at height of 13,500 ft, called Chitta Katha due to its white waters maybe because of lime. It is a heaven for trekkers and travelers around the world. It is an unmatched beauty and the most attractive lake of Neelum Valley."
11,Patlian Lake,"Patlian Lake is an unexplored lake with lifetime adventure, one should visit once in a lifetime. It is on the height of 13,450 ft from sea level. Neelum Valley is famous for alpine glaciers lakes and Patlian is one of them."
12,"Sharda, Neelum Valley","Sharda is a very calm destination of Neelum Valley for relaxing. Every year thousands of tourists come to Sharda for exploring its natural beauty and the moderate temperature. People of Sharda are friendly in nature they offer you hospitality as they have not very much to offer. With cheap fares of hotels with normal facilities it is still a worthy natural place to explore."
13,"Manthoka Waterfalls, Skardu","Manthoka is a fabulous waterfall in Skardu, which is itself a beautiful and naturally blessed vacation destination. Manthoka waterfall is located close to Madupur. Total height of Manthoka waterfall is 180 feet. It is one of the popular tourist spots. The spot is also famous for activities like camping, hiking and fishing."
14,"Shogran, Kaghan Valley","Shogran is a hill station situated on a green plateau in the Kaghan Valley at a height of 2,362 metres (7,749 ft) above sea level. Shogran is located at a distance of 34 kilometres (21 mi) away from Balakot. The road from Islamabad to Kiwai is metalled and measures 212 kilometres (132 mi). Hotels and motels are available at affordable costs. It is accessible in the summer. It attracts families and explorers alike. One should not miss a trip to Forest Rest House. Most of the people sit and relax in its huge lush green lawns. Views of Sri Paya and 'Musa ka Musala Peak' are really nice from the lawns of the rest house."
